basket,shop,item,product,order_url,unit_price_eur_incl_vat,qty,line_total_eur,checked,notes
A,Berrybase (DE),Computer,Raspberry Pi 4 Model B 2 GB,https://www.berrybase.de/en/raspberry-pi-4-computer-model-b-2gb-ram,57.90,1,57.90,2026-09-16 100+ in stock,"product no. RPI4B-2GB, max 20 per order. Cheapest of the shops checked: Opencircuit 78.60 from an external warehouse, Kiwi out of stock, reichelt stocks only 4 GB at 126.39"
A,Berrybase (DE),Storage,SanDisk High Endurance microSDHC UHS-I U3 32 GB,https://www.berrybase.de/en/sandisk-high-endurance-microsdhc-uhs-i-u3-memory-card-adapter-32gb,28.60,1,28.60,2026-09-13,continuous-write rated
A,Berrybase (DE),Microphone,INMP441 MEMS omnidirectional microphone module I2S,https://www.berrybase.de/en/inmp441-mems-omnidirectional-microphone-module-i2s-interface,3.10,1,3.10,2026-09-13,"back in: with the microphone inside the box the I2S run is about 10 cm, well inside what the bus can do. Needs a stacking header to clear the Witty Pi"
A,Berrybase (DE),RS485 adapter,Waveshare industrial USB-RS485 converter FT232RL with surge and ESD protection,https://www.berrybase.de/en/waveshare-industrieller-usb-rs485-konverter-blitzschutz-esd-sicher-bidirektional-ft232rl,12.90,1,12.90,2026-09-15 46 in stock,"the CH343G version is out of stock; this is the same board with an FT232RL, same surge and ESD protection. Opencircuit lists a CH343G at 13.50"
A,Berrybase (DE),Soil probe,DFRobot SEN0600 RS485 Modbus-RTU soil temperature and moisture IP68,https://www.berrybase.de/en/dfrobot-rs485-modbus-rtu-soil-sensor-for-temperature-and-humidity-stainless-steel-probe-ip68-5-30v,26.90,2,53.80,2026-09-13,10 cm and 30 cm; register map is datasheet-only and must be verified on the bench
alt,Berrybase (DE),Scheduler,Witty Pi 3 Mini RTC and power management,https://www.berrybase.de/en/witty-pi-3-mini-real-time-clock-rtc-and-power-management-module-for-raspberry-pi,19.50,0,0.00,2026-09-13,"fallback only: saves a shop, but the pin usage and USB-C input were verified on the 4 Mini manual, and the 3 Mini takes micro-USB"
A,Amazon.nl / Opencircuit,Instrument,"USB inline power meter, USB-A, reads V and A",,15.00,1,15.00,estimate,Berrybase J7-c is out of stock. Any USB-A inline meter reading volts and amps will do; this is the number the whole power budget rests on
B,reichelt (DE),Enclosure,BOXEXPERT FLT 300200130 GR IP65 300x200x130 with steel mounting plate,https://www.reichelt.com/nl/en/shop/product/ip65_wall-mounted_enclosure_200_x_300_x_130_mm_grey-262987,32.49,1,32.49,2026-09-14,"reichelt product no. FLT 300200130 GR. ABS, which is NOT UV-stable: it chalks and embrittles in 2 to 5 years outdoors. For node 1 paint it (matt green outdoor paint blocks the UV); for a fleet take the polycarbonate box in the alt row. Keep the modem away from the steel plate, or leave the plate out"
B,reichelt (DE),Cable glands,M20 IP68 cable gland,https://www.reichelt.com/nl/en/shop/product/metric_cable_gland_6_0_-_12_mm_m20_gray-268371,1.01,5,5.05,2026-09-14,"reichelt product no. MBFK2 20. Panel, two probe leads, one vented, one spare. The mic is a port in the wall, not a gland"
B,reichelt (DE),Charge controller,Victron SmartSolar MPPT 75/10,https://www.reichelt.com/nl/en/shop/product/smartsolar_mppt_75_10_10_a_solar_charge_controller-377551,64.89,1,64.89,2026-09-14,reichelt product no. VE SCC075010060R. Obelink sells it at 49.90; buying it there saves 14.99 and adds a shipment. Rated 145 W at 12 V so a 100 W panel needs no upgrade
